freq,mag,db
103.399,1.42148,3.05484
103.599,1.41768,3.03155
103.799,1.41296,3.00259
103.999,1.41157,2.99407
104.199,1.41607,3.02171
104.399,1.42441,3.0727
104.599,1.43269,3.12304
104.799,1.43828,3.15684
104.999,1.43933,3.16318
105.199,1.43557,3.14046
105.399,1.43048,3.10961
105.599,1.42888,3.09991
105.799,1.4324,3.12131
105.999,1.43963,3.16502
106.199,1.44832,3.21727
106.399,1.45513,3.25806
106.599,1.45663,3.267
106.799,1.45306,3.24566
106.999,1.44848,3.21823
107.199,1.44653,3.20655
107.399,1.44878,3.22007
107.599,1.4556,3.26081
107.799,1.4649,3.31617
107.999,1.47196,3.35789
108.199,1.47354,3.36723
108.399,1.47076,3.35086
108.599,1.46661,3.32627
108.799,1.46386,3.31002
108.999,1.46549,3.31968
109.199,1.47259,3.36161
109.399,1.4819,3.41636
109.599,1.4886,3.45558
109.799,1.49068,3.46766
109.999,1.48866,3.45592
110.199,1.48423,3.43004
110.399,1.48099,3.41102
110.599,1.48292,3.42233
110.799,1.49015,3.46461
110.999,1.49889,3.51542
111.199,1.50555,3.55391
111.399,1.50825,3.56946
111.599,1.50619,3.5576
111.799,1.50128,3.52922
111.999,1.49836,3.51233
112.199,1.50083,3.52663
112.399,1.50774,3.56651
112.599,1.51612,3.6147
112.799,1.52313,3.65476
112.999,1.52581,3.66999
113.199,1.52307,3.65437
113.399,1.51818,3.62647
113.599,1.51604,3.61423
113.799,1.51869,3.6294
113.999,1.52533,3.6673
114.199,1.53398,3.71638
114.399,1.54106,3.75639
114.599,1.54286,3.76655
114.799,1.53954,3.74784
114.999,1.53521,3.72336
115.199,1.53362,3.71438
115.399,1.53631,3.72957
115.599,1.54333,3.76919
115.799,1.55239,3.82002
115.999,1.55875,3.85555
116.199,1.5594,3.85915
116.399,1.55597,3.84001
116.599,1.55214,3.81859
116.799,1.55078,3.81098
116.999,1.55399,3.82894
117.199,1.56191,3.87313
117.399,1.57086,3.92275
117.599,1.57592,3.95067
117.799,1.57569,3.94939
117.999,1.57228,3.93062
118.199,1.56856,3.91005
118.399,1.56764,3.90492
118.599,1.57209,3.92953
118.799,1.58079,3.9775
118.999,1.58892,4.02203
119.199,1.59264,4.04236
119.399,1.59179,4.03773
119.599,1.58811,4.01761
119.799,1.58441,3.99738
119.999,1.58463,3.99857
120.199,1.59063,4.03141
120.399,1.5995,4.07968
120.599,1.60642,4.11721
120.799,1.60903,4.13131
120.999,1.60742,4.12259
121.199,1.60316,4.09952
121.399,1.60001,4.08243
121.599,1.60204,4.09348
121.799,1.6093,4.13276
121.999,1.61771,4.17802
122.199,1.62344,4.20872
122.399,1.62492,4.21666
122.599,1.62215,4.20185
122.799,1.61752,4.17697
122.999,1.61576,4.16755
123.199,1.61981,4.1893
123.399,1.62772,4.2316
123.599,1.63536,4.27225
123.799,1.63988,4.29624
123.999,1.63987,4.29621
124.199,1.63582,4.27473
124.399,1.63159,4.25221
124.599,1.63192,4.25396
124.799,1.63767,4.28453
124.999,1.64567,4.32685
125.199,1.65238,4.36219
125.399,1.65539,4.37801
125.599,1.6535,4.36809
125.799,1.64864,4.34249
125.999,1.6458,4.32753
126.199,1.64843,4.34141
126.399,1.65534,4.37772
